Name,type,Date,#,%,inf
1,ship,6/26/2020,24,71.03,8.33
34,ship,6/27/2020,161,29.21,10.56
2,ship,7/4/2020,142,46,4.93
1,ship,7/5/2020,250,73.96,4.8
31,ship,7/5/2020,48,37.99,10.42
1,ship,7/6/2020,111,78.51,0.9
31,ship,7/6/2020,292,43.68,6.85
31,ship,7/8/2020,256,37.16,10.16
34,ship,7/8/2020,110,17.43,15.45
31,ship,7/9/2020,99,52.29,5.05
7,ship,7/9/2020,115,41.35,0.71
1,ship,7/9/2020,208,38.53,5.77
2,ship,7/11/2020,290,116.27,9.31
2,ship,7/12/2020,144,42.27,3.47
1,ship,7/13/2020,43,64.46,9.3
7,ship,7/15/2020,30,53.38,13.33
2,ship,7/16/2020,32,26.37,28.13
7,ship,7/16/2020,215,36.74,6.05
34,ship,7/17/2020,70,23.55,7.14
2,ship,7/18/2020,96,35.4,4.17
2,ship,7/19/2020,2,16.46,0
31,ship,7/19/2020,796,324.97,0.75
31,ship,7/20/2020,235,64.72,2.98
7,ship,7/20/2020,31,11.31,90.32
34,ship,7/20/2020,198,42.1,3.54
1,ship,7/21/2020,92,75.04,7.61
31,ship,7/21/2020,217,46.93,27.65
34,ship,7/21/2020,220,34.56,22.73
34,ship,7/24/2020,75,50.27,1.33
2,ship,7/25/2020,31,34.7,0
34,ship,7/25/2020,424,82.01,3.07
34,ship,7/26/2020,104,22.53,5.77
31,ship,7/26/2020,224,45.18,25
1,ship,7/27/2020,31,49.57,6.45
31,ship,7/27/2020,248,47.57,4.61
31,ship,7/29/2020,148,34.38,2.7
34,ship,7/29/2020,98,42.36,0
1,ship,7/29/2020,188,62.61,6.38
2,ship,8/1/2020,42,46.71,2.38
1,ship,8/2/2020,3,3.88,66.67
2,ship,8/2/2020,81,30.22,12.35
1,ship,8/3/2020,30,48.58,16.67
31,ship,8/3/2020,235,43.77,2.98
7,ship,8/3/2020,45,21.63,13.33
7,ship,8/5/2020,20,28.55,20
31,ship,8/5/2020,144,40.58,5.56
2,ship,8/6/2020,204,40.38,4.41
34,ship,8/7/2020,72,21.01,6.94
1,ship,8/17/2020,206,40.2,10.19
31,ship,8/17/2020,164,37.49,7.32
7,ship,8/17/2020,33,22.13,27.27
34,ship,8/17/2020,70,15.86,7.14
7,ship,8/19/2020,52,22.38,23.08
34,ship,8/19/2020,79,29.4,6.33
2,ship,8/19/2020,159,25.53,16.98
1,ship,8/19/2020,403,52.63,4.96
34,ship,8/21/2020,72,25.47,9.72
